name,course,diet,ingredients
Pasta with Garlic-Scape Pesto,Italian,vegetarian,"pistachios, Parmigiano-Reggiano cheese,salt and black pepper, spaghetti,olive oil"
Patra,Indian snack,vegetarian,"Arbi ke patte, sesame seeds, gur, bengal gram flour, imli"
Pattor,Indian main course,vegetarian,"Arbi ke patte, sesame seeds, gur, bengal gram flour, imli"
Pav Bhaji,Indian main course,vegetarian,"Pav bhaji masala, gobi, potatoes, green peas, dinner rolls"
Payasam,Indian dessert,vegetarian,"Rice, cashew nuts, milk, raisins, sugar"
Payokh,Indian dessert,vegetarian,"Basmati rice, rose water, sugar, clarified butter, cardamom pods"
Pesarattu,Indian snack,vegetarian,"Green moong beans, rice flour"
Petha,Indian dessert,vegetarian,"Firm white pumpkin, sugar, kitchen lime, alum powder"
Phirni,Indian dessert,vegetarian,"Rice, sugar, nuts"
Pho Chay Soup,Vietnames,vegetarian,"Rice noodle,vegatable soup, bean curd, mushroom"
Pho Ga Chicken,Vietnames,nonvegetarian,"Rice noodle, chicken, lemon, bean sprouts, Thai basils, chicken"
Pho Tai rare beef,Vietnames,nonvegetarian,"Bean Sprouts, lemon, Thai basils, Rice noodles, beef"
Pico de Gallo,Mexican,vegetarian,"onion,tomatoes, oil,  cilantro, jalapeao"
Pico de Gallo Verde,Mexican,vegetarian,"avacado, tomato, cucumber,celery, garlic, mint, lemon juice, chillies, onion, cilantro"
Pinaca,Indian dessert,vegetarian,"Brown rice, fennel seeds, grated coconut, black pepper, ginger powder"
Pindi chana,Indian main course,vegetarian,"Fennel, tea bags, tomato, kasuri methi, cinnamon"
Pineapple-Coconut Rice,Thai,vegetarian,"brown rice, coconut milk, onion, carrot, cashew, pineapple, vegetable oil, ginger, curry powder"
Pithe,Indian dessert,vegetarian,"Rice flour, wheat flour"
Poha,Indian snack,vegetarian,"Beaten rice flakes, potato, curry leaves, green chilies, lemon juice"
Pongal,Indian dessert,vegetarian,"Rice, jaggery, cashews, ghee"
Poornalu,Indian dessert,vegetarian,"Chana dal, jaggery"
Pootharekulu,Indian dessert,vegetarian,"Rice flour, powdered sugar, ghee"
Poriyal,Indian main course,vegetarian,"Chana dal, urad dal, beans, coconut, mustard"
Pork Bharta,Indian main course,nonvegetarian,"Boiled pork, onions, chillies, ginger and garlic"
Potato Casserole,Italian,vegetarian,"potatoes, butter, salt, pepper"
Prawn kastu Curry,Japanese,nonvegetarian,"prawn, rice, japanes curry sauce, bread crumbs, rice"
Prawn malai curry,Indian main course,nonvegetarian,"Coconut milk, prawns, garlic, turmeric, sugar"
Puli sadam,Indian main course,vegetarian,"Urad dal, lemon, tamarind, cooked rice, curry leaves"
Pumpkin Soup,Healthy Soup,vegetarian,"Pumpkin, onion, vegetable stock, cream, nutmeg"
Puri Bhaji,Indian main course,vegetarian,"Aloo, urad dal, mustard, ginger, curry leaves"
Puttu,Indian main course,vegetarian,"Brown rice flour, sugar, grated coconut"
Qatayef,Arabic Dessert,vegetarian,"Pancake dough, sweet cheese or nuts, sugar syrup"
Qubani ka meetha,Indian dessert,vegetarian,"Apricots, sugar syrup"
Quinoa Bowl and Berries,Healthy Food,vegetarian,"quinoa, black berries,strawberries, blueberries,,chia seeds, almonds"
Quinoa Salad,Healthy Salad,vegetarian,"Quinoa, cherry tomatoes, cucumber, red onion, feta cheese, lemon vinaigrette"
Quinoa Stuffed Tomatoes,Healthy Main Course,vegetarian,"Quinoa, tomatoes, spinach, feta cheese, olives"
Quinoa Tabbouleh,Healthy Food,vegetarian," quinoa, olive oil, tomato,  cucumber, parsley, mint, scallions, thinly sliced"
Rabri,Indian dessert,vegetarian,"Condensed milk, sugar, spices, nuts"
Rajas Poblanas,Mexican,vegetarian,"poblano pepper, cream, salt, cream cheese"
Rajma chaval,Indian main course,vegetarian,"Red kidney beans, garam masala powder, ginger, tomato, mustard oil"
Ras malai,Indian dessert,vegetarian,"Chhena, reduced milk, pistachio"
Rasabali,Indian dessert,vegetarian,"Chenna, sweetened milk"
Rasam,Indian main course,vegetarian,"Tomato, curry leaves, garlic, mustard seeds, hot water"
Rasgulla,Indian dessert,vegetarian,"Chhena, sugar, cardamom"
Red Rice,Indian main course,vegetarian,"Red pepper, red onion, butter, watercress, olive oil"
Rice with Soy-Glazed Bonito Flakes and Sesame Seeds,Japanese,nonvegetarian,"sake, sesame seeds, soy sauce, rice, japanese sauces"
"Ricotta Gnocchi with Asparagus, Peas, and Morels",Italian,vegetarian," ricotta,Asparagus,  morel mushrooms, Olive Oil,  Parmesan, fresh peas, butter, black pepper,  shallot, "
Roast Pork Tenderloin with Carrot Romesco, Korean,nonvegetarian,"carrots, Olive Oil, Salt ,  pork tenderloin, Garlic, red pepper flake, red wine vineger, "
Roasted Vegetables,Healthy Side Dish,vegetarian,"Mixed vegetables, olive oil, garlic, herbs"
Rongi,Indian main course,vegetarian,"Garam masala powder, tomato, kasuri methi, cinnamon, mustard oil"
Rosemary Roasted Vegetables,Healthy Food,vegetarian,"kosher salt, rosemary, garlic, potato, olive oil, carrot, walnut, cheese, ground pepper"
Rouille,French,vegetarian," bread crumbs,cayenne, extra-virgin olive oil,coarse sea salt, garlic"
Roz Bel Laban,Arabic Dessert,vegetarian,"Rice pudding, milk, sugar, vanilla, cinnamon"
Saag Alo ,Nepalese,vegetarian,"Spinach, onion, potato, cumin seed, turmeric powder, nepali spices"
Saath,Indian main course,vegetarian,"Urad dal, potatoes, wheat flour, sooji"
Sabudana Khichadi,Indian snack,vegetarian,"Raw peanuts, sabudana, lemon, avocado oil, curry leaves, green chili"
Sambar,Indian main course,vegetarian,"Pigeon peas, eggplant, drumsticks, sambar powder, tamarind"
Sambusak,Arabic Snack,vegetarian,"Dough, cheese, spinach, onions, pine nuts, spices"
Samosa,Indian snack,vegetarian,"Potatoes, green peas, garam masala, ginger, dough"
Sandesh,Indian dessert,vegetarian,"Milk, sugar, saffron, cardamom"
Sandige,Indian main course,vegetarian,"Thin rice flakes, black sesame seeds, curry leaves"
Sattu ki roti,Indian main course,vegetarian,"Sattu, atta, dough, filling, mustard oil"
Sayadiyah,Arabic Main Course,nonvegetarian,"Fish, rice, onions, spices, pine nuts"
Sea Food Soup,Chinese,nonvegetarian,"Prawn,Squid, fish ball, fish cake, mussels, crab sticks"
Sesame Noodles with Chili Oil and Scallions,Chinese,vegetarian,"Noodles, Salt,garlic,chilli oil, sesame oil, chilli flakes, scallions, sichuan pepper, vinegar, soy sauce"
Sev khamani,Indian main course,vegetarian,"Khaman, pomegranate, sev, powdered sugar, garlic"
Sev tameta,Indian main course,vegetarian,"Sev, ginger, tomato, sugar"
Sevai,Indian main course,vegetarian,"Sevai, parboiled rice, steamer"
Shahi paneer,Indian main course,vegetarian,"Cottage cheese, malai, garam masala, ginger, tomato"
Shahi tukra,Indian dessert,vegetarian,"Rose water, milk, white bread slices, saffron, almonds"
Shankarpali,Indian dessert,vegetarian,"Sugar, ghee, maida flour, semolina"
Shawarma,Arabic Main Course,nonvegetarian,"Chicken or lamb, yogurt, garlic, lemon juice, cumin, paprika, turmeric, cardamom, cinnamon, black pepper, vinegar, salt, olive oil"
Shawarma-Spiced Braised Leg of Lamb,Indian,nonvegetarian,"cumin seed, garlic, chilli powder, lamb leg, corriender, onion, turmeric powder, lemon, tomato"
Sheer korma,Indian dessert,vegetarian,"Vermicelli pudding, milk"
Sheera,Indian dessert,vegetarian,"Semolina, ghee, nuts, milk"
Shirazi Salad,Healthy Food,vegetarian,"Spring onion, cheese, lemon juice, cucumber, onion, carrot, parsley, cilantro"
Shish Barak,Arabic Main Course,nonvegetarian,"Dough dumplings, minced meat, yogurt, pine nuts, coriander"
Shrikhand,Indian dessert,vegetarian,"Curd, sugar, saffron, cardamom"
Shrimp Olivier,French,nonvegetarian,"Shrimp, egg, Potatoes, carrot, onion, pasley, mayo"
Shufta,Indian dessert,vegetarian,"Cottage cheese, dry dates, dried rose petals, pistachio, badam"
Shukto,Indian main course,vegetarian,"Green beans, bitter gourd, ridge gourd, banana, brinjal"
Singori,Indian dessert,vegetarian,"Khoa, coconut, molu leaf"
Slow-Roasted Pork ,Korean,nonvegetarian,"fresh sage,garlic cloves, bone-in pork shoulder,ground pepper,Dijon mustard"
Sohan halwa,Indian dessert,vegetarian,"Corn flour, ghee, dry fruits"
Sohan papdi,Indian dessert,vegetarian,"Gram flour, ghee, sugar, milk, cardamom"
Spice Chicken Baugette,Vietnames,nonvegetarian,"Spice Chicken, cucumber, coriander, pickled carrort, mayo"
Spicy Chickpea Wraps,Healthy Snack,vegetarian,"Chickpeas, tortilla wraps, lettuce, spicy sauce, yogurt"
Spicy Kimchi Tofu Stew,Korean,vegetarian,"tofu, kimchi, gochujang,black pepper,  sesame seeds, soy sauce, scallions"
Spicy Korean Steak,Korean,nonvegetarian," boneless steak, olive oil, black pepper, oyster sauce,  ginger, chilli flakes, cooking wine, kimchi,cilantro"
Spinach Omelette,Healthy Breakfast,nonvegetarian,"Eggs, spinach, tomatoes, cheese, herbs"
Stir-Fried Lettuces With Crispy Shallots,Chinese,nonvegetarian,"sliced shallots,pepper,salt,garlic, ginger, lettuce,brown rice"
Stuffed Peppers,Healthy Main Course,vegetarian,"Bell peppers, quinoa, black beans, corn, cheese"
Sukhdi,Indian dessert,vegetarian,"Whole wheat flour, gur, clarified butter"
Sukuti Chatpate,Nepalese,nonvegetarian,"crunchy noodles, onion, cucumber,tomatoes, lemon juice, puffed rice, dried meat"
Summer Rolls,Vietnames,nonvegetarian,"Mint, Lettuce, Noodles, Prawn, Rice Paper,Peanut Sauce"
Surnoli,Indian snack,vegetarian,"Rice flakes, yogurt, raw rice, jaggery, grated coconut"
Sutar feni,Indian dessert,vegetarian,"Maida, sugar, ghee"
Sweet Potato Hash,Healthy Main Course,vegetarian,"Sweet potatoes, onions, peppers, eggs, spices"
Sweet and Sour Chicken Fried Rice,Chinese,nonvegetarian," Rice, carrot, peas, chicken, soy sauce, sugar, garlic, capcicum"
Tabbouleh,Arabic Salad,vegetarian,"Bulgur wheat, parsley, mint, tomato, cucumber, green onions, lemon juice, olive oil, salt, pepper"
"Tacos de Gobernador (Shrimp, Poblano, and Cheese Tacos)",Mexican,nonvegetarian,"poblano chiles, bacon, shrips, red salsa, garlic, corn tortillas, lime juice"
Tandoori Chicken,Indian main course,nonvegetarian,"Greek yogurt, garam masala, kasuri methi, marinade, mustard oil"
Tandoori Chicken,Indian,nonvegetarian,"Cicken, yougurt, tandori spices, ginger, coriander, turmeric, lime"
Tandoori Fish Tikka,Indian starter,nonvegetarian,"Chickpea flour, biryani masala powder, yogurt, fish fillets, green bell pepper"
Tarka Daal,Nepalese,vegetarian,"yello lentils,garlic, cumin seed, butter"
Tempeh Reuben Sandwich,Healthy Main Course,vegetarian,"Tempeh, rye bread, sauerkraut, Swiss cheese, Thousand Island dressing"
Thai Green Curry ,Thai,vegetarian,"cumin seeds, coriander seeds, chillies, garlic, ginger onion, thai sauces,lemon grass, penut "
Thai Spareribs,Thai,nonvegetarian," lemongrass, ginger, meaty sparerib, Sesame-Cilantro Rice,peanut sauce,sesame oil,garlic, soy sauce "
Thalipeeth,Indian main course,vegetarian,"Whole wheat flour, rice flour, pearl millet flour, sorghum flour, sesame seeds"
Thayir sadam,Indian main course,vegetarian,"Urad dal, curd, sesame oil, ginger, curry leaves, mustard seeds"
Theeyal,Indian main course,vegetarian,"Coconut, whole red beans, masala, sesame oil, tamarind"
Thepla,Indian snack,vegetarian,"Chickpea flour, methi leaves, jowar flour, wheat flour"
Thyme-Roasted Sweet Potatoes,Healthy Food,vegetarian,"sweet potatoes, thyme leaves, olive oil, red papper flakes,"
Til Pitha,Indian dessert,vegetarian,"Glutinous rice, black sesame seeds, gur"
Tofu Stir Fry,Healthy Main Course,vegetarian,"Tofu, mixed bell peppers, soy sauce, sesame oil, ginger"
Tomato Basil Soup,Healthy Soup,vegetarian,"Tomatoes, basil, vegetable stock, cream, garlic"
Turiya Patra Vatana sabji,Indian main course,vegetarian,"Ridge gourd, baking soda, sugar, grated coconut, peas"
Turkey Wrap,Healthy Snack,nonvegetarian,"Whole wheat wrap, turkey breast, lettuce, tomatoes, mustard"
Umm Ali,Arabic Dessert,vegetarian,"Puff pastry, milk, sugar, nuts, coconut flakes, raisins"
Undhiyu,Indian main course,vegetarian,"Sweet potato, surti papdi, baby potatoes, valor papdi, green peas"
Unni Appam,Indian dessert,vegetarian,"Rice flour, banana, jaggery, coconut"
Upma,Indian snack,vegetarian,"Chana dal, urad dal, ginger, curry leaves, sugar"
Uttapam,Indian snack,vegetarian,"Chana dal, urad dal, thick poha, tomato, butter"
Vada,Indian snack,vegetarian,"Urad dal, ginger, curry leaves, green chilies, black pepper"
Veg Kolhapuri,Indian main course,vegetarian,"Gobi, potato, beans, khus khus, coconut"
Vegetable Lentil Stew,Healthy Soup,vegetarian,"Lentils, carrots, celery, tomatoes, vegetable stock, spices"
Vegetable Quiche,Healthy Main Course,vegetarian,"Eggs, mixed vegetables, cheese, seasoning"
Vegetable jalfrezi,Indian main course,vegetarian,"Baby corn, french beans, garam masala, ginger, carrot"
Veggie Stir Fry,Healthy Main Course,vegetarian,"Mixed vegetables, soy sauce, olive oil, garlic, ginger"
Vietnamese Chicken Salad,Vietnames,nonvegetarian,"roasted peanuts,basil leaves, mint leaves, chicken, cucumber,carrot"
Vindaloo,Indian main course,nonvegetarian,"Chicken, coconut oil, wine vinegar, ginger, green, cinnamon"
Zaatar Salad,Arabic Salad,vegetarian,"Lettuce, tomatoes, cucumber, radish, zaatar, lemon juice, olive oil"
Zucchini Noodles,Healthy Main Course,vegetarian,"Zucchini, cherry tomatoes, pesto, parmesan cheese"
Zunka,Indian main course,vegetarian,"Gram flour, mustard, garlic, turmeric, red chilli"
active charcoal modak,Japanese,vegetarian,"for modak:, gram flour (besan), semolina (rava/suji), active charcoal, water, oil (for frying), sugar, water, cardamom powder, lemon juice, cashews (kaju)"
al hachi chicken,Indian,nonvegetarian,"shallow fried chicken, bottle gourd (boiled and sun dried), onion, garlic, whole spices:, green cardamom, black cardamom, cinnamon sticks, turmeric, deggi mirch, fennel seeds powder, dry ginger powder, coriander powder, salt, mustard oil, desi ghee"
almond  white chocolate gujiya,Japanese,vegetarian,"all-purpose flour, clarified butter (ghee), water, white chocolate, dessicated coconut, green cardamom powder, almond, jaggery"
almond and amaranth ladoo,Dessert,vegetarian,"popped amaranth seeds, jaggery, almonds (slivered, unpeeled)"
almond and chicken momos (without shell),Chinese,nonvegetarian,"chicken mince, garlic, carrots, spring onion, ginger, soya sauce, oyster sauce, sesame oil, pepper powder, egg, almonds (blanched), oil (for greasing)"
almond and cranberry poha,Indian,vegetarian,"almond flakes, onion, poha, cranberries (frozen/ dried), salt, oil, curry leaves, green chilies, fresh coconut"
almond and raw banana galawat,Indian,vegetarian,"almond slivers, raw banana (boiled), almond paste, cooking cream, refined oil, mace powder, cardamom powder , ginger garlic paste, garam masala powder, red chilli powder, salt, tempura batter"
almond pearls,Snack,vegetarian,"toasted almonds, blueberries, oats, corn flakes, olive oil, salt, curry leaves, mustard seeds, cumin seeds, red chilli powder, turmeric powder, black pepper powder, ajwain, lemon juice"
"amaranthus granola with lemon yogurt, berries and marigold",Healthy Food,vegetarian,"popped amaranthus (cholai), oats, almonds, cinnamon powder, sunflower seeds, sesame seeds, honey, brown sugar, salt, olive oil, lemon rind, plain yogurt (whipped with lemon rind), blueberries"
amritsari chicken masala,Indian,nonvegetarian,"chicken, ginger garlic paste, curd, lemon juice, vinegar, coriander powder, cumin powder, red chilli powder, salt, onion, butter, red chilli powder, coriander powder, cumin powder, ginger, water, salt, green chilli, tomatoes, sugar, butter , cream"
amritsari fish,Indian,nonvegetarian,"fish with curry, ginger and garlic"
andhra crab meat masala,Indian,nonvegetarian,"processed crab meat, refined oil, curry leaves, garlic, green chilli, onion, ginger-garlic paste, coriander, coriander powder, cumin powder, turmeric powder, garam masala powder, kashmiri chilli powder, salt, lemon, chop masala, tomato"
andhra pan fried pomfret,Indian,vegetarian,"white pomfret fish, sunflower refined ooil, red chilli powder, salt, turmeric powder, ginger-garlic paste, lemon (juiced), cumin powder, coriander powder, garam masala, green chilli, curry leaves, coriander"
apple and pear cake,Healthy Food,vegetarian,"Core, Chopped and Sliced ??Apple, Core, Chopped and Sliced ??Pears, Castor Sugar, Vanilla Essence, Sunflower Oil, Eggs, Flour, Milk, Baking Powder, Milk, Cinnamon Stick, Egg yolks, Castor Sugar"
apple and walnut cake,Dessert,vegetarian,"Apple, Eggs, Walnuts, Sugar, Walnuts, Oil, Flour, Baking Powder, Cinnamon Powder"
apple kheer,Dessert,vegetarian,"apples, basmati rice, nuscovado sugar (you can also use normal sugar), cashew nuts and almonds, cassia bark or cinnamon stick, red grapes"
apple rabdi,Dessert,vegetarian,"apples, milk, sugar, green cardamoms, almonds (blanched), pistachios (blanched)"
arbi kofta with mint yogurt dip,Snack,vegetarian,"arbi/colocasia roots, water chestnut flour (kuttu ka aata), green chili, ginger, carom seeds, rock salt, oil, mint, curd, cucumber, pomegranate"
assorted rice kheer sushi,Japanese,vegetarian,"basmati rice, milk, sugar, pistachio, almonds, green cardamoms(powdered), saffron, rose water, rose petals (dried), dark chocolate"
avial with red rice,Indian,vegetarian,"Red rice, water, potatoes, carrots, raw banana, drumstick, small raw mango, sour curd, bean stick, onion, salt, turmeric, water, coconut oil, green chillies, mustard seeds (crushed)"
baba budan no. 7,Beverage,vegetarian,"rum, espresso, sugar syrup/gur (jaggery) syrup, green cardamom pod,"
badam papite ke kebab with pineapple salsa,Indian,nonvegetarian,"Raw papaya, raw potato, almonds, salt, asafoetida, turmeric, celery, coriander, ginger, green chillies, gram flour, green coriander, oil, pineapple, onion, green chillies, green coriander, lemon juice, salt, pepper"
baked almond kofta,Snack,vegetarian,"potato (boiled), nutmeg, milk, almonds (crushed), green onions, refined flour, egg, salt, pepper, eggs, refined flour (for rolling), dried breadcrumbs (for rolling)"
baked multigrain murukku,Snack,vegetarian,"oats, ragi flour (bhakri atta), wheat flour, rice flour, urad dal flour (dry roast and grind the dal to a fine powder), cumin seeds, green chillies, ginger, salt, oil"
baked namak para,Snack,vegetarian,"whole wheat flour (atta), refined flour (maida), baking powder, ghee, salt, carom seeds (ajwain)"
baked namakpara with roasted almond dip,Snack,vegetarian,"almonds (crushed), tomato, garlic cloves, basil sprig, lemon, salt, pepper, for namak para:, refined flour, sugar, salt, olive oil, water"
baked raw banana samosa,Snack,vegetarian,"onion, ginger, curry powder, fresh coriander, green chilli, raw banana paste, refined oil, mustard seeds, phyllo sheets, salt"
baked shankarpali ,Snack,vegetarian,"whole wheat flour (atta), refined flour (maida), garlic cloves (crushed), salt, red chilli powder, chaat masala, cumin powder, tomato puree, ghee"
baked wild berry cheesecake,Dessert,vegetarian,"butter, digestive biscuits, berries, cream cheese, castor sugar, vanilla extract, egg (lightly beaten), icing sugar"
balti meat,Mexican,nonvegetarian,"refined oil, black cardamoms, green cardamoms, mace, clove, cinnamon stick, black pepper corn, ginger garlic paste, ginger, green chilies, mutton curry cut, brown onion paste, salt, kashmiri red chili powder, tomato puree, garam masala powder, coriander powder, cumin powder"
banana and chia tea cake,Dessert,vegetarian,"Banana, Castor Sugar, Flour, Oil, Milk, Eggs, Baking Soda, Flax Seeds, Almond Flakes, Chia Seeds"
banana and maple ice lollies,Dessert,vegetarian,"Banana, Greek yogurt, heavy cream, pure maple syrup, coconut"
banana chips,Snack,vegetarian,"dried slices of bananas (fruits of herbaceous plants of the genus musa of the soft, sweet ""dessert banana"" variety), they can be covered with sugar or honey and have a sweet taste, or they can be fried in oil and spices and have a salty and/or spicy taste.[2]"
banana phirni tartlets with fresh strawberries,Snack,vegetarian,"basmati rice (soaked in water), milk, cardamom powder, milk, saffron, sugar, banana, fresh strawberries, plain flour, butter (chilled), castor sugar, egg yolk, chilled water"
banana walnut smoothie,Healthy Food,vegetarian,"Low Fat Yogurt, Banana, Walnuts, Seeds (Facseeds and Chia Seeds), Honey"
batter fish,Mexican,nonvegetarian,"Fresh fish pieces (river sol or sea bass), maida, passerley, oil, baking powder, maida, egg (optional), soda water, salt and pepper"
beetroot and green apple soup,Healthy Food,vegetarian,"beetroots, green apple, onion, olive oil, salt, black peppercorns (crushed), butter, vegetable stock, mixed dried herbs, fresh cream, lemon juice, parsley sprigs, red chilli flakes, soup sticks as required"
beetroot modak,Japanese,vegetarian,"gram flour (besan), semolina (rava/sooji), beetroot colour or two oven cooked beetroot paste , water, oil (for frying), for sugar syrup:, sugar, water, cardamom powder, lemon juice, cashews (kaju)"
bengali lamb curry,Indian,nonvegetarian,"Lamb pieces, yogurt, turmeric powder, castor sugar, red chili powder, mustard oil, onion, ginger paste, garlic paste, green chillies, mustard seeds, almonds"
berry parfait hazelnut white chocolate sable,Dessert,vegetarian,"for berry parfait:, egg yolk, caster sugar, berry puree, cream cheese, double cream, for hazelnut streusel:, ground hazelnut, flour, caster sugar, butter, for hazelnut white chocolate pressed sable:, hazelnut streusel, cocoa butter, puffed rice, clarified butter, melted white chocolate, for flexy berry:, raspberry puree, sugar, liquid glucose, pectin"
betel nut popsicle,Dessert,vegetarian,"full cream milk, cream, mascarpone, sugar, paan (crushed), cookie crumble, dark chocolate (melted), caramel sauce"
bhurji- egg,Indian,nonvegetarian,"made using indian spices, onion, tomatoes, green chilli, and had with bread, or parathas."
bihari fish curry,Indian,nonvegetarian,"rohu fish, salt, turmeric powder, chilli powder, oil, garlic , green chillies, mustard seeds, black peppercorns, cumin seeds, whole red chillies, fenugreek seeds, tomatoes, mustard oil, bay leaves, water, garam masala, coriander leaves"
black rice,Healthy Food,vegetarian,riety of rice
braised lamb shanks,Thai,nonvegetarian,"Lang Shanks, Olive Oil, Onion, Carrots, Celery Stick, Garlic, White Wine, Lamb Stock, White Wine, Rosemary, Tomata Puree"
bread chana basket,Indian,vegetarian,"bread (white/brown), butter, for chana chaat:, chana, onion, tomatoes, cumin seeds, ginger garlic paste, chilli powder, chana masala, turmeric powder , oil, salt"
bread dahi vada,Indian,vegetarian,"bread slices, curd, oil, salt and black pepper , red chilli powder, aamchoor powder, mint leaves, zeera powder, anardana"
bread with tomatoes and olives,Italian,vegetarian,"French Bread Loaf, Tomato, Extra Virgin Olive Oil, Salt, Black Pepper, Passerley, Stuffed Green Olive"
broccoli and almond soup,Healthy Food,vegetarian,"vegetable stock, broccoli, ground almonds (toasted), skimmed milk, salt, freshly ground black pepper"
broccoli souffle,Italian,vegetarian,"broccoli, butter, extra virgin olive oil, all-purpose flour, low fat milk, salt, black pepper, cheddar cheese, eggs (separated), egg whites, cream of tarter"
brown rice,Healthy Food,vegetarian,riety of rice.
buldak (hot and spicy chicken),Japanese,nonvegetarian,"chicken drum sticks/ chicken breast, soy sauce, sugar, traditional corn syrup (substitution honey), cheong ju (clear rice wine similar to japanese sake), green onion, black pepper, olive oil, sesame seeds (optional), for marinating sauce:, gochugaru (red chili pepper flakes), alapenos, korean pear (substitution asian pear), onion, garlic, soy sauce, spicy yellow mustard, sesame oil, sugar, mul yut (substitution honey)"
butter chicken,Indian,nonvegetarian,mughalai delecacy
cajun spiced turkey wrapped with bacon,Mexican,nonvegetarian,"turkey breast, cajun spice, spinach leaves (cooked and drained), garlic pods, salted butter, feta cheese, bacon strips, ground black pepper, for cajun spice:, onion powder, garlic powder, seasoning salt, paprika, ground black pepper, cayenne pepper, oregano, thyme, red pepper flakes (if you like it spicy))"
californian breakfast benedict,Snack,vegetarian,"brioche loaf, avocado paste, eggs, tomato, spinach, nutmeg powder, phyllo pastry sheet, assorted seasonal fruits, hollandaise sauce"
camel milk cake tart,Dessert,vegetarian,"Camel milk, sugar, vinegar, butter, brown sugar, maida, eggs"
caramelized sesame smoked almonds,Snack,vegetarian,"red lentils or masoor dal (half-boiled), potato (grated), carrot, french beans, bread slices, ground chickpea flour (sattu), green chillies, ginger, onions, garlic (minced), salt, sugar, chaat masala, red chilli powder, garam masala, corn flour, besan, bread crumbs for crunchyness, coriander, refined oil (for fryingp)"
carrot ginger soup,Healthy Food,vegetarian,"Carrots, Olive Oil, Salt, Vegetable Stock, Ginger, Thyme, Onion, Garlic Buds, Pepper (Freshly Picked)"
cashew nut cookies,Dessert,vegetarian,"cashew paste, ghee, khaand (a sweetening agent and a healthier substitute of sugar), flax or chia seeds, plain yogurt, baking soda, baking powder, vanilla, oats, organic all-purpose flour"
cauliflower and chicken biryani,Indian,nonvegetarian,"boneless chicken, biryani masala, yogurt, onions, coconut oil, cauliflower, coconut (diced), onion (diced), peppercorns, cardamoms, cumin seeds, bay leaves, cinnamon, cloves, coconut oil, garam masala, dry chilli flakes, turmeric powder, black peppercorns, cardamom, cinnamon, garlic (crushed), tomato puree, green chillies, fresh ginger (peeled), dry red chilli, salt"
cheese and avocado parantha,Mexican,vegetarian,"Wheat flour, Kasuri methi, water, olive oil, avocado, mozzarella cheese, pizza tasting, ghee, salt"
cheese and ham roll,Snack,vegetarian,"hung curd, butter, cream, ground pimento, lemon juice, vodka, salt and pepper, asparagus spears(cooked), ham, pineapple slices"
cheese chicken kebabs,Indian,nonvegetarian,"Chicken Thais, Garlic Paste, Garlic Paste, Yellow Chilli Powder, Cheese, Curd, Gram Flour, Green Cardamom Powder, Yellow Chilli Powder, Mace Powder, Nutmeg Powder, Rock Salt, Green Coriander, Oil"
chettinad fish fry,Indian,nonvegetarian,"Surmai fish, oil, garlic buds, ginger (mash), cumin, fennel, whole coriander, black pepper, mustard seeds, curry leaves, salt, oil, water, tomatoes, red pepper powder, turmeric powder, tamarind pulp, cornflour, lemon pieces of"
chettinadu chicken,Indian,nonvegetarian,chicken and spices
chicken 65,Chinese,nonvegetarian,"ed chicken preparation. chicken, onion, ginger"
chicken and mushroom lasagna,Italian,nonvegetarian,"chicken, salt, crush black pepper, garlic cloves (minced), olive oil, fresh thyme, button mushroom, onion, low fat milk, basil, basil-tomato sauce"
chicken biryani,Indian,nonvegetarian,"malabar peppercorn, cinnamon stick, green cardamom pods, star anise, cloves, fennel seeds, vermicelli, desi ghee, shahi jeera, bay leaves, green chilli, mint leaves, onion, saffron, garlic paste, salt, chicken (dark meat), ginger paste, turmeric powder, coriander powder, red chilli powder, roma tomatoes (de-seedeed), water"
chicken dong style,Chinese,nonvegetarian,"Oil, chicken breast, garlic, ginger, tomato catchup, oyster sauce, shitake mushrooms, bomb shoots (boiled), salt, sugar, broth powder, shocking wine, potato starch, sesame oil, green onions"
chicken dragon,Chinese,nonvegetarian,"Chicken (boneless and cut into small pieces), eggs (lightly whipped), maida, garlic paste, ginger paste, salt, water, oil"
chicken farcha,Indian,nonvegetarian,"boneless chicken thigh (without skin), lemon juice, garlic paste, ginger paste, red chilli powder, coriander powder, garam masala, black pepper (crushed), salt, bread crumbs / semolina, eggs, red chilli powder, oil"
chicken gilafi kebab,Indian,nonvegetarian,"Chicken Mince, Onion, Tomato, Green Capsicum, Green Coriander, Green Chilli, Salt, Oil, Cashew, Almond, Mint, Red Chilli Powder, Ginger Garlic Paste, Cumin Powder, Lemon Juice, Fresh Cream, Kewda Water"
chicken in mahalak sauce,Indian,nonvegetarian,"Salt, sugar, seasonings, oil, corn flour, chicken leg, fresh chilli, garlic, ginger, onion, red chili paste, tomato catchup, paprika, yellow capsicum, vegetable stock"
chicken in white wine,Italian,nonvegetarian,"black pepper, plain flour, olive or sunflower oil, rashers lean bacon, onions or shallots (cut in half), mushrooms, butter, boneless and skinless chicken breasts (chopped into 3cm pieces), dry white wine, chicken or vegetable stock, garlic cloves, bay leaves, fresh thyme sprigs (washed or 1/2 tsp dried thyme)"
chicken masala,Indian,nonvegetarian,"Chicken, ginger, garlic, onion, tomato, garam masala, bay leaves, salt, turmeric, coriander powder, red chilli powder, oil, green coriander, cream"
